ID plataforma anuncio mercado investimento cliques conversoes
177 Instagram Banner Moda 6.22581294871146 762 36
178 Instagram Vídeo Tecnologia 6.97519066632208 670 39
179 Instagram Texto Alimentação 14.2101660886098 294 63
180 Facebook Banner Moda 10.0721427126951 619 25
181 Instagram Vídeo Tecnologia 10.370439370372 560 70
182 Instagram Texto Tecnologia 12.4026744320345 414 61
183 Google Texto Moda 9.38301512768553 426 74
184 Google Texto Tecnologia 9.20883045590105 497 44
185 Google Vídeo Alimentação 9.33599287036632 441 64
186 Facebook Banner Moda 11.4311667728973 672 30
187 Google Banner Moda 14.7051066732642 245 99
188 Instagram Texto Tecnologia 13.5837516039421 268 84
189 Instagram Banner Tecnologia 11.8675070480842 303 60
190 Facebook Texto Tecnologia 10.8863023220358 219 89
191 Google Banner Moda 10.5213251683742 528 35
192 Facebook Texto Alimentação 8.89534941794762 509 63
193 Instagram Vídeo Tecnologia 7.77489158342176 709 26
194 Instagram Texto Alimentação 9.12608894216529 590 43
195 Google Vídeo Moda 8.22710159228775 535 52
196 Facebook Vídeo Moda 10.0349742903533 263 56
197 Google Vídeo Tecnologia 10.1112840139776 512 52
198 Google Banner Moda 7.1811246844398 858 2
199 Google Banner Alimentação 8.68142028471964 396 75
200 Instagram Texto Moda 10.1725948682584 595 18
201 Google Banner Tecnologia 14.1243223887533 318 68
202 Instagram Texto Moda 11.2026004139327 459 55
203 Instagram Banner Moda 9.650504859426 548 48
204 Instagram Banner Tecnologia 7.69577898452009 568 22
205 Google Banner Alimentação 12.688894098586 352 69
206 Facebook Vídeo Moda 9.7517518702439 668 9
207 Google Vídeo Tecnologia 11.6564515289713 380 46
208 Google Vídeo Alimentação 10.9718311410456 543 46
209 Google Vídeo Alimentação 9.25689229207913 731 29
210 Google Texto Alimentação 10.7458841700046 274 80
211 Instagram Vídeo Alimentação 9.59652258106982 389 34
212 Instagram Banner Tecnologia 8.36142842639625 321 52
213 Google Vídeo Moda 11.017627247162 499 41
214 Instagram Texto Tecnologia 7.52774286253161 590 30
215 Instagram Vídeo Alimentação 11.0736391288714 519 38
216 Instagram Vídeo Tecnologia 7.47777851207564 736 60
217 Facebook Vídeo Moda 10.3095494542414 385 68
218 Google Banner Alimentação 11.6770258062399 471 62
219 Facebook Vídeo Tecnologia 9.47638652400931 387 60
220 Google Banner Alimentação 8.26540266191367 675 0
221 Facebook Banner Moda 11.1627979808563 496 48
222 Facebook Banner Alimentação 8.79844372134008 642 32
223 Facebook Vídeo Tecnologia 11.2863235060688 584 55
224 Google Texto Alimentação 9.456268864422 603 56
225 Facebook Banner Moda 6.90918856158533 716 30
226 Facebook Banner Moda 11.2349869454098 334 72
227 Google Banner Moda 6.50093751111834 783 24
228 Google Banner Alimentação 12.717045173269 390 52
229 Google Banner Alimentação 12.0440613040144 329 84
230 Facebook Banner Alimentação 10.5473018626354 253 80
231 Google Banner Alimentação 9.27701160762245 546 54
232 Instagram Vídeo Alimentação 9.33880052843682 490 60
233 Google Texto Alimentação 8.76550131280075 478 46
234 Facebook Texto Alimentação 8.64405782763489 546 25
235 Instagram Banner Tecnologia 11.4209373577028 449 61
236 Google Banner Moda 10.5461279914912 494 38
237 Instagram Vídeo Alimentação 9.44390463023755 601 31
238 Google Texto Tecnologia 8.75499410071782 491 46
239 Instagram Texto Tecnologia 11.4330269258465 498 36
240 Instagram Banner Alimentação 13.8512526471434 352 71
241 Google Texto Alimentação 9.57631330749513 520 54
242 Facebook Texto Moda 9.95307628972208 525 57
243 Google Vídeo Alimentação 11.7215370673818 443 79
244 Instagram Vídeo Alimentação 11.7901249620188 343 74
245 Google Texto Alimentação 8.53505450286145 422 52
246 Google Banner Moda 9.82612021130487 496 49
247 Google Banner Alimentação 13.1331235151158 365 67
248 Instagram Texto Alimentação 6.04022744433597 844 21
249 Facebook Banner Tecnologia 6.14177386902877 693 35
